1593561600000,225.59000000,225.61000000,224.16000000,225.04000000,23266.27633000,1593565199999,5229504.45165360,7260,11774.56745000,2646781.89042950,0
1593565200000,225.05000000,225.33000000,224.36000000,224.97000000,8567.97693000,1593568799999,1926154.76227690,3699,4102.19385000,922194.78904740,0
1593568800000,224.98000000,226.00000000,224.61000000,225.44000000,20358.43408000,1593572399999,4588774.96226680,6893,9462.61810000,2133167.90309260,0
1593572400000,225.46000000,225.84000000,224.30000000,225.44000000,13304.53700000,1593575999999,2994556.66867020,5184,6843.42126000,1539988.32236060,0
1593576000000,225.45000000,226.00000000,225.36000000,225.62000000,13444.58195000,1593579599999,3034519.27628900,5164,8272.01540000,1867079.07236140,0
1593579600000,225.63000000,226.00000000,225.32000000,225.51000000,10596.09069000,1593583199999,2392276.57752490,4434,5054.05696000,1140955.53972430,0
1593583200000,225.51000000,225.86000000,224.80000000,225.14000000,12513.51655000,1593586799999,2818889.55069700,5235,6036.79811000,1359824.00504080,0
1593586800000,225.13000000,226.35000000,225.10000000,225.58000000,17505.09311000,1593590399999,3953903.21326790,5973,7875.93953000,1779093.75149200,0
1593590400000,225.58000000,228.91000000,225.56000000,227.87000000,47198.36125000,1593593999999,10749874.92370100,15465,25663.61065000,5842606.52697970,0
1593594000000,227.86000000,228.53000000,227.40000000,227.61000000,22413.61184000,1593597599999,5110587.32007330,7127,10467.76232000,2386944.94338490,0
1593597600000,227.61000000,228.18000000,227.28000000,227.45000000,14189.78526000,1593601199999,3229738.11778010,5501,6695.08389000,1523883.77867490,0
1593601200000,227.44000000,227.67000000,226.73000000,227.66000000,16250.04295000,1593604799999,3690987.98829900,5898,8063.24625000,1831740.01794490,0
1593604800000,227.66000000,227.72000000,226.80000000,227.70000000,13582.79168000,1593608399999,3087578.78571130,5372,6224.57858000,1414897.18562150,0
1593608400000,227.69000000,229.13000000,227.26000000,228.43000000,37350.29018000,1593611999999,8529720.58557690,11431,23453.00376000,5356515.41936040,0
1593612000000,228.44000000,229.24000000,228.27000000,228.59000000,24379.06704000,1593615599999,5577038.96718690,7893,13420.42131000,3070651.69509740,0
1593615600000,228.59000000,229.42000000,228.51000000,229.42000000,18875.46525000,1593619199999,4322164.78963520,7371,10623.68431000,2432727.23006060,0
1593619200000,229.42000000,231.98000000,228.70000000,231.50000000,69171.38722000,1593622799999,15966843.40165810,19090,35331.84676000,8153408.70477990,0
1593622800000,231.50000000,232.71000000,231.20000000,232.35000000,28958.92577000,1593626399999,6717361.12021180,9409,16028.39656000,3718474.54963100,0
1593626400000,232.37000000,232.51000000,231.44000000,231.69000000,18316.82662000,1593629999999,4249638.71974120,7112,10506.33223000,2437948.52892460,0
1593630000000,231.68000000,232.07000000,230.69000000,231.10000000,23835.95715000,1593633599999,5518057.50248570,6543,10057.24428000,2328997.57643640,0
1593633600000,231.10000000,232.20000000,230.97000000,231.32000000,20364.48165000,1593637199999,4718170.40007580,7097,9291.59837000,2153208.43363220,0
1593637200000,231.33000000,231.68000000,230.75000000,231.13000000,10641.67417000,1593640799999,2459390.00461720,4917,5085.89911000,1175390.10856490,0
1593640800000,231.12000000,231.43000000,230.29000000,230.91000000,12380.97865000,1593644399999,2857322.75277950,5536,5477.16374000,1264397.87397290,0
1593644400000,230.90000000,232.19000000,230.51000000,230.99000000,19885.43533000,1593647999999,4599878.01277800,6851,9896.46348000,2289341.07353840,0
1593648000000,230.99000000,231.52000000,230.41000000,230.61000000,15013.48529000,1593651599999,3467511.18604800,8290,6867.26224000,1586173.66730160,0
1593651600000,230.60000000,231.50000000,230.39000000,231.50000000,13260.53207000,1593655199999,3062945.17227320,6515,7078.52688000,1635299.76177320,0
1593655200000,231.50000000,232.01000000,230.97000000,231.07000000,17839.42296000,1593658799999,4131153.00466100,6293,9060.72410000,2098560.24846830,0
1593658800000,231.07000000,231.40000000,230.81000000,231.06000000,8838.24635000,1593662399999,2042311.53762800,4272,4626.15977000,1068989.89612870,0
1593662400000,231.04000000,231.45000000,230.85000000,231.06000000,7676.86470000,1593665999999,1774028.17303530,4709,3854.14259000,890625.08032990,0
1593666000000,231.05000000,231.61000000,228.20000000,228.48000000,35566.64302000,1593669599999,8171220.71650670,11407,16504.56165000,3790161.47187150,0
1593669600000,228.49000000,229.09000000,227.63000000,228.53000000,31994.44636000,1593673199999,7307113.16962350,10908,16366.63319000,3738346.98492540,0
1593673200000,228.50000000,229.10000000,228.26000000,228.60000000,14479.00635000,1593676799999,3311858.11339810,6600,7753.06883000,1773566.63217350,0
1593676800000,228.63000000,229.32000000,227.83000000,229.01000000,27256.64715000,1593680399999,6229629.05549450,7826,10715.63180000,2449532.21345930,0
1593680400000,229.00000000,229.47000000,228.62000000,228.90000000,15631.48716000,1593683999999,3579697.81925230,6553,6962.42127000,1594581.49320120,0
1593684000000,228.91000000,228.98000000,227.80000000,228.68000000,20134.74394000,1593687599999,4598242.23935720,6811,9930.79219000,2268000.94392490,0
1593687600000,228.68000000,228.69000000,227.00000000,228.19000000,31022.96330000,1593691199999,7065970.51798900,9684,15202.65414000,3462300.18889860,0
